doi,year,title,abstract,context,section,mention_retraction,intent,sentiment,source_id,source_title,scimago_subject,scimago_area
"10.1007/978-3-319-93224-8_30","2018","Research Errors","TODO","TODO","TODO","TODO","TODO","TODO","isbn:9783319932231; isbn:9783319932248","Cognitive Errors And Diagnostic Mistakes","TODO","TODO"
"10.1007/978-3-319-93293-4_2","2018","Autism Policy And Advocacy In Brazil And The Usa","TODO","TODO","TODO","TODO","TODO","TODO","isbn:9783319932927; isbn:9783319932934","Autism In Translation","TODO","TODO"
"10.1007/978-3-319-94694-8_26","2018","Do Vaccines Cause Autism?","TODO","TODO","TODO","TODO","TODO","TODO","isbn:9783319946931; isbn:9783319946948","The Clinician’S Vaccine Safety Resource Guide","TODO","TODO"
"10.1046/j.1365-2141.2001.02543.x","2001","Progressive Reduction In Treatment-Related Deaths In Medical Research Council Childhood Lymphoblastic Leukaemia Trials From 1980 To 1997 (Ukall Viii, X And Xi)","TODO","TODO","TODO","TODO","TODO","TODO","issn:0007-1048; issn:1365-2141","British Journal Of Haematology","TODO","TODO"
"10.1046/j.1365-2753.2002.00312.x","2002","Clinical Evaluation: Constructing A New Model For Post-Normal Medicine","TODO","TODO","TODO","TODO","TODO","TODO","issn:1356-1294","Journal Of Evaluation In Clinical Practice","TODO","TODO"
"10.1046/j.1365-277x.2002.00372.x","2002","Gluten And Casein Free Diets In Autism: A Study Of The Effects On Food Choice And Nutrition","TODO","TODO","TODO","TODO","TODO","TODO","issn:0952-3871; issn:1365-277X","Journal Of Human Nutrition And Dietetics","TODO","TODO"
"10.1172/jci35821","2008","Attention Focuses On Autism","TODO","TODO","TODO","TODO","TODO","TODO","issn:0021-9738","Journal Of Clinical Investigation","TODO","TODO"
"10.1172/jci38913","2009","Autism’S False Prophets","TODO","TODO","TODO","TODO","TODO","TODO","issn:0021-9738","Journal Of Clinical Investigation","TODO","TODO"
"10.3109/9780203911723-10","2003","Autism And Environmental Toxins","TODO","TODO","TODO","TODO","TODO","TODO","isbn:9780824707156; isbn:9780824755164","Autism Spectrum Disorders","TODO","TODO"
"10.3109/9780203911723-4","2003","Autism Screening And Neurodevelopmental Assessment","TODO","TODO","TODO","TODO","TODO","TODO","isbn:9780824707156; isbn:9780824755164","Autism Spectrum Disorders","TODO","TODO"
