lcc_code,lcc_subject
A,General Works
AC,Collections. Series. Collected works
AE,Encyclopedias
AG,Dictionaries and other general reference works
AI,Indexes
AM,Museums. Collectors and collecting
AN,Newspapers
AP,Periodicals
AS,Academies and learned societies
AY,Yearbooks. Almanacs. Directories
AZ,History of scholarship and learning. The humanities
B,Philosophy 
BC,Logic
BD,Speculative philosophy
BF,Psychology
BH,Aesthetics
BJ,Ethics
BL,Religions. Mythology. Rationalism
BM,Judaism
BP,"Islam. Bahaism. Theosophy, etc."
BQ,Buddhism
BR,Christianity
BS,The Bible
BT,Doctrinal theology
BV,Practical Theology
BX,Christian Denominations
C,Auxiliary Sciences of History
CB,History of Civilization
CC,Archaeology
CD,Diplomatics. Archives. Seals
CE,Technical Chronology. Calendar
CJ,Numismatics
CN,Inscriptions. Epigraphy
CR,Heraldry
CS,Genealogy
CT,Biography
D,History 
DA,Great Britain
DAW,Central Europe
DB,"Austria,Liechtenstein,Hungary,Czechoslovakia"
DC,"France,Andorra,Monaco"
DD,Germany
DE,Greco-Roman World
DF,Greece
DG,"Italy,Malta"
DH,"Low Countries,Benelux Countries"
DJ,Netherlands (Holland)
DJK,Eastern Europe 
DK,"Russia. Soviet Union. Former Soviet Republics,Poland"
DL,Northern Europe. Scandinavia
DP,"Spain,Portugal"
DQ,Switzerland
DR,Balkan Peninsula
DS,Asia
DT,Africa
DU,Oceania (South Seas)
DX,Romanies
E,History of America
F,Local History of the Americas
G,Geography . Atlases. Maps
GA,Mathematical geography. Cartography
GB,Physical geography
GC,Oceanography
GE,Environmental Sciences
GF,Human ecology. Anthropogeography
GN,Anthropology
GR,Folklore
GT,Manners and customs 
GV,Recreation. Leisure
H,Social Sciences
HA,Statistics
HB,Economic theory. Demography
HC,Economic history and conditions
HD,Industries. Land use. Labor
HE,Transportation and communications
HF,Commerce
HG,Finance
HJ,Public finance
HM,Sociology 
HN,Social history and conditions. Social problems. Social reform
HQ,"The family. Marriage, Women and Sexuality"
HS,"Societies: secret, benevolent, etc."
HT,Communities. Classes. Races
HV,Social pathology. Social and public welfare. Criminology
HX,Socialism. Communism. Anarchism
J,General legislative and executive papers
JA,Political science 
JC,Political theory
JF,Political institutions and public administration
